Date,User (hashed),Status,Order (hashed),Item (Hashed),Total
3/4/2022,e61dfdf2d7cee7d78bc3b01d301a94b19ed0be0c,Gold,a47e2a3cd6314765d2326d1ee9b7b61e513aaf33,c209ecc0e21d7e58dbd71858c5670bd07d0255ef,18.99
3/4/2022,f5a248b9e9dcc1fff254a9ca31b8ca1acc47e088,Blue,9443cb38bd9d8181412ea65a69cf079088669069,3a6de26a377571e879f2f06b1d783f9b141169fc,18.71
3/4/2022,e61dfdf2d7cee7d78bc3b01d301a94b19ed0be0c,Gold,a47e2a3cd6314765d2326d1ee9b7b61e513aaf33,c3e55d3d9979ffc62e7de08135b7f788dbfbeb73,9.5
3/4/2022,e61dfdf2d7cee7d78bc3b01d301a94b19ed0be0c,Gold,5695d5afb94c402d6f5ead80a8bb32b638beb72b,e2ee2c1514de81e757498e578f16102e3725f537,91.65
3/4/2022,c14c2a015d2c48e97d0268c9b9d0e60348746ffc,Blue,1ad957c1c25d0dcd5273d82c4855fd5cb219e000,e2ee2c1514de81e757498e578f16102e3725f537,19.7
3/4/2022,41dbd3aca2ab5ab7cac3921b5feb876dadaf71b0,Blue,455cbe702e0fba65b8c662ceb232d6b77f008a28,9c9f9785ceab3aac60008d93988b6cc726e7abe9,20.04
3/6/2022,7e5825393a35d96e13ca8f7142a80ed7646aebae,Gold,79f63ba8f222ceeafe71c0df3c32c4487f53c720,3a6de26a377571e879f2f06b1d783f9b141169fc,19.7
3/6/2022,1e4e8c3bdc395b09ddf96fcb17b91fa42ee82f98,Gold,ac161bc680b04d80ef5dc9d33a935ed7a9aeafed,71bc289338fc1bed899dde126fea1b8998e7fae8,19.17
3/10/2022,73eb154014db481e7364713a8d825aecee67c851,Noir,e0219d69005212a339280a8238a5c1279fad8e51,c209ecc0e21d7e58dbd71858c5670bd07d0255ef,10.02
3/10/2022,73eb154014db481e7364713a8d825aecee67c851,Noir,e0219d69005212a339280a8238a5c1279fad8e51,be67b67dcafef25d938649f8d2d22b622dc9232f,6.33
3/6/2022,3a01fd4708d58436d04a93d1f7df79843053f683,Gold,e2e1a4bf8b67f7ce7daa67344392157d45c65583,9c9f9785ceab3aac60008d93988b6cc726e7abe9,19.7
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,e9ce877e295c218e0dd12aeef30f0350ff48f3d3,508c646524d27c4ca65fdb110d02c0502ee4c398,16.41
3/4/2022,e61dfdf2d7cee7d78bc3b01d301a94b19ed0be0c,Gold,8d25233ba5e1dfe95a280c407d994a5973f5288e,e2ee2c1514de81e757498e578f16102e3725f537,18.34
3/10/2022,ac4aba4a1cf08a71ddd53d5002e4559fab4470b8,Platinum,68368e8d9abd93e4ff8cd8af83cdfbf0670db4e4,ede36ee66ad94463124e95c321234115dec3d701,6.4
3/10/2022,52b5c2a43ebf23a83f0a1fd853b1a4650ffc4d9f,Blue,e038cb7840c148b18a5a081f5a6f651aa5b0c488,471c1e9a711119cc04a1e1a5e11563c171cba82f,16.23
